type,age_firstborn,days_milking,lact_count,insemination,age,imported,yield
1,23,172,1,3,29,1,27.5
1,27,189,1,1,33,1,22
1,22,180,1,3,27,1,31
1,25,166,1,1,31,1,28.8
1,22,149,1,1,27,1,32.7
1,25,179,1,4,31,1,29.9
1,26,160,1,4,32,1,32
1,25,190,1,3,31,1,26.6
1,24,135,1,2,28,1,28.2
1,24,195,1,3,31,1,40.1
1,26,121,1,1,30,1,24.5
1,27,154,1,2,32,1,22.3
1,26,162,1,2,31,1,26.2
1,23,591,1,9,43,1,12
1,25,176,1,3,31,1,29.3
1,23,192,1,3,29,1,23.6
1,25,174,1,3,30,1,33.5
1,23,200,1,1,29,1,29.8
1,23,156,1,2,28,1,28.6
1,22,186,1,3,28,1,31.2
1,22,146,1,2,26,1,39.1
1,22,54,1,0,24,1,31.1
1,27,202,1,4,34,1,29.6
1,24,44,1,0,25,1,11.1
1,23,155,1,3,28,1,28.3
1,25,179,1,3,30,1,32.3
1,23,155,1,2,28,1,26.3
1,25,179,1,4,31,1,22.2
1,24,181,1,2,30,1,27.6
1,25,198,1,1,31,1,24.7
1,25,175,1,2,31,1,43.3
1,24,179,1,2,30,1,26.5
1,25,153,1,2,30,1,26.6
1,24,37,1,0,25,1,3
1,24,171,1,2,30,1,26.8
1,24,173,1,4,29,1,29.7
1,22,188,1,3,28,1,31.7
1,23,172,1,2,28,1,30.8
1,22,149,1,2,27,1,32.6
1,26,177,1,4,32,1,30.8
1,24,188,1,3,30,1,33.9
1,25,145,1,2,30,1,31.8
1,21,171,1,3,27,1,32.7
1,24,88,1,0,27,1,21.4
1,26,164,1,3,31,1,27.6
1,22,14,1,0,23,0,16.5
1,21,30,1,0,22,0,29.3
1,26,446,1,5,41,0,20.8
1,27,507,1,1,44,0,15
1,23,435,1,7,38,0,23.1
1,22,493,1,7,38,0,19.3
1,25,382,1,0,38,0,14.3
1,24,495,1,7,40,0,17.2
1,26,359,1,2,37,0,11.2
1,25,407,1,4,39,0,11.2
1,25,434,1,5,39,0,12.5
1,23,492,1,8,39,0,22.1
1,32,343,1,3,45,0,31.3
1,24,622,1,5,44,0,27.9
1,22,154,1,3,27,0,25
1,23,129,1,2,27,0,25.3
1,22,159,1,3,27,0,50.1
1,22,137,1,2,27,0,29.8
1,22,147,1,2,27,0,27.3
1,23,126,1,2,27,0,29.6
1,21,157,1,1,26,0,24.6
1,23,106,1,1,26,0,36.9
1,22,115,1,1,26,0,23.3
1,25,35,1,0,26,0,29.4
1,24,57,1,0,26,0,35.3
1,24,37,1,0,25,0,28.3
1,25,16,1,0,25,0,25.6
1,24,29,1,0,25,0,31.5
1,21,148,1,1,25,0,35.7
1,24,49,1,0,25,0,34
1,21,122,1,2,25,0,27.6
1,24,37,1,0,25,0,28.7
1,21,124,1,0,25,0,24.5
1,22,120,1,1,26,0,30.5
1,25,34,1,0,26,0,28.9
1,26,20,1,0,26,0,22.3
1,25,49,1,0,26,0,18.8
